"Velocidades:0","Velocidades:1","Velocidades:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.32573,0.00098072,0,1,0.18784,0.5,0.19352,0.5
-0.32543,0.0011162,0,1,0.18883,0.5,0.19451,0.5
-0.32513,0.0012517,0,1,0.18982,0.5,0.1955,0.5
-0.32483,0.0013872,0,1,0.19081,0.5,0.19649,0.5
-0.32416,0.0015016,0,1,0.19179,0.5,0.19748,0.5
-0.3234,0.00161,0,1,0.19278,0.5,0.19847,0.5
-0.32264,0.0017184,0,1,0.19377,0.5,0.19946,0.5
-0.32187,0.0018269,0,1,0.19476,0.5,0.20044,0.5
-0.32111,0.0019353,0,1,0.19575,0.5,0.20143,0.5
-0.32034,0.0020437,0,1,0.19674,0.5,0.20242,0.5
-0.31958,0.0021521,0,1,0.19773,0.5,0.20341,0.5
-0.31882,0.0022605,0,1,0.19871,0.5,0.2044,0.5
-0.31805,0.002369,0,1,0.1997,0.5,0.20539,0.5
-0.31729,0.0024774,0,1,0.20069,0.5,0.20638,0.5
-0.31652,0.0025858,0,1,0.20168,0.5,0.20737,0.5
-0.31576,0.0026942,0,1,0.20267,0.5,0.20835,0.5
-0.315,0.0028027,0,1,0.20366,0.5,0.20934,0.5
-0.31423,0.0029111,0,1,0.20465,0.5,0.21033,0.5
-0.31347,0.0030195,0,1,0.20564,0.5,0.21132,0.5
-0.3127,0.0031279,0,1,0.20662,0.5,0.21231,0.5
-0.31194,0.0032363,0,1,0.20761,0.5,0.2133,0.5
-0.31118,0.0033448,0,1,0.2086,0.5,0.21429,0.5
-0.31041,0.0034532,0,1,0.20959,0.5,0.21527,0.5
-0.30965,0.0035616,0,1,0.21058,0.5,0.21626,0.5
-0.30888,0.00367,0,1,0.21157,0.5,0.21725,0.5
-0.30797,0.0037614,0,1,0.21256,0.5,0.21824,0.5
-0.30691,0.0038365,0,1,0.21354,0.5,0.21923,0.5
-0.30586,0.0039116,0,1,0.21453,0.5,0.22022,0.5
-0.3048,0.0039867,0,1,0.21552,0.5,0.22121,0.5
-0.30374,0.0040618,0,1,0.21651,0.5,0.22219,0.5
-0.30268,0.0041369,0,1,0.2175,0.5,0.22318,0.5
-0.30163,0.0042121,0,1,0.21849,0.5,0.22417,0.5
-0.30057,0.0042872,0,1,0.21948,0.5,0.22516,0.5
-0.29951,0.0043623,0,1,0.22046,0.5,0.22615,0.5
-0.29846,0.0044374,0,1,0.22145,0.5,0.22714,0.5
-0.2974,0.0045125,0,1,0.22244,0.5,0.22813,0.5
-0.29634,0.0045876,0,1,0.22343,0.5,0.22912,0.5
-0.29528,0.0046627,0,1,0.22442,0.5,0.2301,0.5
-0.29423,0.0047378,0,1,0.22541,0.5,0.23109,0.5
-0.29317,0.004813,0,1,0.2264,0.5,0.23208,0.5
-0.29211,0.0048881,0,1,0.22738,0.5,0.23307,0.5
-0.29105,0.0049632,0,1,0.22837,0.5,0.23406,0.5
-0.29,0.0050383,0,1,0.22936,0.5,0.23505,0.5
